CC	peptides
0	METDB-00194-1-DN25151-c0-g1-i3.p1
0	METDB-00194-1-DN53710-c0-g1-i1.p1
0	METDB-00194-1-DN34427-c1-g2-i1.p1
0	METDB-00194-1-DN25181-c0-g2-i1.p1
0	METDB-00194-1-DN97853-c0-g1-i1.p1
0	METDB-00194-1-DN25181-c0-g1-i1.p1
0	METDB-00194-1-DN71935-c0-g1-i1.p1
0	METDB-00194-1-DN16927-c0-g1-i1.p1
0	METDB-00194-1-DN25292-c2-g1-i1.p1
0	METDB-00194-1-DN28725-c0-g1-i1.p1
0	METDB-00194-1-DN34805-c0-g2-i2.p2
0	METDB-00194-1-DN43539-c0-g1-i1.p1
0	METDB-00194-1-DN43539-c0-g2-i1.p1
0	METDB-00194-1-DN63931-c0-g1-i1.p1
0	METDB-00194-1-DN60826-c0-g1-i1.p1
0	METDB-00194-1-DN35503-c1-g1-i1.p1
0	METDB-00194-1-DN22853-c0-g2-i1.p1
0	METDB-00194-1-DN35503-c1-g2-i1.p1
0	METDB-00194-1-DN22853-c0-g1-i1.p1
0	METDB-00194-1-DN60981-c0-g1-i1.p1
0	METDB-00194-1-DN35706-c1-g2-i1.p1
0	METDB-00194-1-DN35706-c1-g1-i1.p1
0	METDB-00194-1-DN86899-c0-g1-i1.p1
0	METDB-00194-1-DN70628-c0-g1-i1.p1
0	METDB-00194-1-DN97861-c0-g1-i1.p1
0	METDB-00194-1-DN59922-c0-g1-i1.p1
0	METDB-00194-1-DN100234-c0-g1-i1.p1
0	METDB-00194-1-DN96597-c0-g1-i1.p1
0	METDB-00194-1-DN17565-c0-g1-i1.p1
0	METDB-00194-1-DN75058-c0-g1-i1.p1
0	METDB-00194-1-DN35706-c1-g1-i2.p1
0	METDB-00194-1-DN17842-c0-g1-i1.p1
0	METDB-00194-1-DN50917-c0-g1-i1.p1
0	METDB-00194-1-DN8873-c0-g1-i1.p1
0	METDB-00194-1-DN72247-c0-g1-i1.p1
0	METDB-00194-1-DN54258-c0-g1-i1.p1
0	METDB-00194-1-DN2583-c0-g1-i1.p1
0	METDB-00194-1-DN5738-c0-g2-i1.p1
0	METDB-00194-1-DN20207-c0-g1-i1.p1
0	METDB-00194-1-DN4360-c0-g1-i1.p1
0	METDB-00194-1-DN99395-c0-g1-i1.p1
0	METDB-00194-1-DN14377-c0-g1-i1.p1
0	METDB-00194-1-DN1486-c0-g1-i1.p1
0	METDB-00194-1-DN27569-c0-g1-i1.p1
0	METDB-00194-1-DN44438-c0-g1-i1.p1
0	METDB-00194-1-DN27259-c0-g1-i1.p1
0	METDB-00194-1-DN62709-c0-g1-i1.p1
0	METDB-00194-1-DN93207-c0-g1-i1.p1
0	METDB-00194-1-DN63500-c0-g1-i1.p1
0	METDB-00194-1-DN74344-c0-g1-i1.p1
0	METDB-00194-1-DN12389-c0-g1-i1.p1
0	METDB-00194-1-DN19795-c0-g1-i1.p2
0	METDB-00194-1-DN19795-c0-g2-i1.p1
0	METDB-00194-1-DN23341-c0-g1-i1.p1
0	METDB-00194-1-DN23341-c0-g2-i1.p1
0	METDB-00194-1-DN71054-c0-g1-i1.p1
0	METDB-00194-1-DN102005-c0-g1-i1.p1
0	METDB-00194-1-DN50533-c0-g1-i1.p1
0	METDB-00194-1-DN33428-c0-g2-i1.p1
0	METDB-00194-1-DN33428-c0-g4-i1.p1
0	METDB-00194-1-DN86370-c0-g1-i1.p1
0	METDB-00194-1-DN102395-c0-g1-i1.p1
0	METDB-00194-1-DN37692-c1-g1-i1.p1
0	METDB-00194-1-DN37692-c1-g4-i1.p1
0	METDB-00194-1-DN37692-c1-g3-i1.p1
0	METDB-00194-1-DN35344-c0-g1-i3.p1
0	METDB-00194-1-DN35344-c0-g1-i1.p1
0	METDB-00194-1-DN35344-c0-g1-i2.p1
0	METDB-00194-1-DN28828-c0-g1-i1.p1
0	METDB-00194-1-DN20204-c0-g2-i1.p1
0	METDB-00194-1-DN35344-c1-g1-i1.p1
0	METDB-00194-1-DN20204-c0-g1-i1.p1
0	METDB-00194-1-DN85852-c0-g1-i1.p1
0	METDB-00194-1-DN73723-c0-g1-i1.p1
0	METDB-00194-1-DN5738-c0-g1-i1.p1
0	METDB-00194-1-DN102761-c0-g1-i1.p1
0	METDB-00194-1-DN15515-c0-g1-i1.p1
0	METDB-00194-1-DN67825-c0-g1-i1.p1
0	METDB-00194-1-DN34159-c0-g1-i2.p1
0	METDB-00194-1-DN1083-c0-g1-i1.p1
0	METDB-00194-1-DN5309-c0-g1-i1.p1
0	METDB-00194-1-DN41001-c0-g3-i1.p1
0	METDB-00194-1-DN44722-c0-g1-i1.p1
0	METDB-00194-1-DN66608-c0-g1-i1.p1
0	METDB-00194-1-DN31009-c0-g2-i1.p1
0	METDB-00194-1-DN36999-c0-g2-i1.p1
0	METDB-00194-1-DN31009-c0-g1-i1.p1
0	METDB-00194-1-DN41001-c0-g4-i2.p1
0	METDB-00194-1-DN36999-c0-g1-i1.p2
0	METDB-00194-1-DN41001-c0-g4-i4.p1
0	METDB-00194-1-DN41001-c0-g4-i1.p1
0	METDB-00194-1-DN41001-c0-g4-i3.p1
0	METDB-00194-1-DN10295-c0-g1-i1.p1
0	METDB-00194-1-DN71323-c0-g1-i1.p1
0	METDB-00194-1-DN50660-c0-g1-i1.p1
0	METDB-00194-1-DN99288-c0-g1-i1.p1
0	METDB-00194-1-DN98404-c0-g1-i1.p1
0	METDB-00194-1-DN81803-c0-g1-i1.p1
0	METDB-00194-1-DN25787-c0-g1-i1.p1
0	METDB-00194-1-DN83017-c0-g1-i1.p1
0	METDB-00194-1-DN26776-c0-g1-i1.p1
0	METDB-00194-1-DN19380-c0-g2-i1.p1
0	METDB-00194-1-DN19380-c0-g4-i1.p1
0	METDB-00194-1-DN30166-c1-g1-i1.p1
0	METDB-00194-1-DN28760-c0-g1-i2.p1
0	METDB-00194-1-DN28760-c0-g1-i1.p1
0	METDB-00194-1-DN3776-c0-g1-i1.p1
0	METDB-00194-1-DN4959-c0-g1-i1.p1
0	METDB-00194-1-DN12841-c0-g1-i1.p1
0	METDB-00194-1-DN12841-c0-g2-i1.p1
0	METDB-00194-1-DN36789-c0-g1-i3.p1
0	METDB-00194-1-DN36789-c0-g1-i2.p1
0	METDB-00194-1-DN19557-c0-g1-i1.p1
0	METDB-00194-1-DN70578-c0-g1-i1.p1
0	METDB-00194-1-DN49850-c0-g1-i1.p1
0	METDB-00194-1-DN10428-c1-g1-i1.p1
0	METDB-00194-1-DN40140-c0-g1-i1.p1
0	METDB-00194-1-DN72061-c0-g1-i1.p1
0	METDB-00194-1-DN73964-c0-g1-i1.p1
0	METDB-00194-1-DN25203-c0-g2-i1.p1
0	METDB-00194-1-DN25203-c0-g3-i1.p1
0	METDB-00194-1-DN60842-c0-g1-i1.p1
0	METDB-00194-1-DN60823-c0-g1-i1.p1
